Animation,Hip Pitch,Hip Roll,Head Yaw,Head Pitch,Right Shoulder Pitch,Right Shoulder Roll,Right Elbow Yaw,Right Elbow Roll,Right Wrist Yaw,Right Hand,Left Shoulder Pitch,Left Shoulder Roll,Left Elbow Yaw,Left Elbow Roll,Left Wrist Yaw,Left Hand
 We,0.0102230124176,0.00798350572586,2.80259692865e-45,-0.0806734785438,1.57121455669,-0.277019232512,1.25100505352,0.470916152,0.000358854187652,0.790000021458,1.64458286762,0.392340540886,-1.21296179295,-0.627084195614,-0.000358854187652,0.790000021458
 We,0.0690270960331,-0.000160557116033,-4.44890044943e-12,-0.0828987061977,1.5687148571,-0.278949260712,1.27465081215,0.45164513588,0.000472839252325,0.980000019073,1.64595615864,0.371385008097,-1.15989422798,-0.633240997791,-0.000472836691188,0.980000019073
 We,0.0800497531891,-0.006728308741,1.68932194622e-11,-0.078567110002,1.57410287857,-0.278398364782,1.29687321186,0.446372389793,0.000493136118166,0.980000019073,1.65593004227,0.364366620779,-1.13424634933,-0.647819161415,-0.000494781706948,0.980000019073
 We,0.0876163616776,-0.0126942424104,3.25532222706e-12,-0.0721006318927,1.58123040199,-0.274690210819,1.31424868107,0.444900393486,0.00049867737107,0.980000019073,1.66234338284,0.36420238018,-1.11935710907,-0.655711650848,-0.000498676905409,0.980000019073
 We,0.0939484611154,-0.017536342144,6.27300457672e-13,-0.0674691423774,1.58598589897,-0.273104757071,1.3138487339,0.448185831308,0.000499745190609,0.980000019073,1.66561925411,0.370108515024,-1.09536206722,-0.657979667187,-0.000499806192238,0.980000019073
 We,0.0980572327971,-0.021172856912,9.18693831946e-14,-0.0742519125342,1.58840692043,-0.272819876671,1.30287277699,0.452545106411,0.000499962712638,0.980000019073,1.66639566422,0.374689668417,-1.08604800701,-0.658486187458,-0.000499962712638,0.980000019073
 We,0.100241117179,-0.0234881490469,1.77032257668e-14,-0.0785919204354,1.58474326134,-0.283310681581,1.21105003357,0.471659272909,0.000499992805999,0.980000019073,1.66628170013,0.382433950901,-1.07470679283,-0.667080998421,-0.000499992805999,0.980000019073
 We,0.101425409317,-0.0244454368949,3.41141121902e-15,-0.0791620463133,1.58648812771,-0.302390575409,1.16042947769,0.522240459919,0.000499998976011,0.980000019073,1.67328870296,0.397803068161,-1.05721390247,-0.714860379696,-0.000499998976011,0.980000019073
 We,0.103325866163,-0.0252264253795,6.57378776353e-16,-0.0742846950889,1.58421850204,-0.320712029934,1.13314795494,0.583221375942,0.000499999790918,0.980000019073,1.67585813999,0.407956153154,-1.04859721661,-0.752309441566,-0.000499999790918,0.980000019073
 We,0.104662150145,-0.0254500843585,1.26676860991e-16,-0.076267786324,1.57753407955,-0.332214593887,1.11453425884,0.616337954998,0.000499999907333,0.980000019073,1.67014086246,0.415066033602,-1.02804112434,-0.761973083019,-0.000499999907333,0.980000019073
 We,0.105039693415,-0.0254643075168,1.92136223598e-10,-0.106014639139,1.56941521168,-0.363491117954,0.992907881737,0.669050693512,0.000500002817716,0.980000019073,1.66636323929,0.462071031332,-0.914585471153,-0.805784463882,-0.000500002643093,0.980000019073
 We,0.106658421457,-0.0289261173457,4.11046308102e-09,-0.203798443079,1.54817450047,-0.522719204426,0.964282810688,1.02213227749,0.000500044203363,0.980000019073,1.64822614193,0.608766555786,-1.03957533836,-1.1730235815,-0.000500042166095,0.980000019073
 We,0.110749684274,-0.0367916189134,7.92086063406e-10,-0.232570543885,1.3947571516,-0.739755213261,0.945947825909,1.35239183903,0.000500008580275,0.980000019073,1.38427686691,0.738261520863,-1.11392641068,-1.36429572105,-0.000500006193761,0.980000019073
 We,0.118755020201,-0.0466078147292,5.16526466043e-09,-0.224423974752,1.42927026749,-0.500608623028,1.21807646751,1.3709141016,0.000500000023749,0.980000019073,1.56672286987,0.686492145061,-1.38912677765,-1.36192286015,-0.00050000048941,0.980000019073
 We,0.127618119121,-0.0542989596725,9.95346249866e-10,-0.206060886383,1.35946941376,-0.650329768658,1.581985116,1.36319851875,0.000500000023749,0.980000019073,1.46136176586,0.827853739262,-1.83014190197,-1.36146593094,-0.000500000140164,0.980000019073
 We,0.134604975581,-0.0607345066965,1.91803156691e-10,-0.178081989288,1.16160190105,-0.737321019173,1.87400078773,1.36162662506,0.000500000023749,0.980000019073,1.35107779503,0.996595680714,-2.08566856384,-1.36137282848,-0.000500000140164,0.980000019073
 We,0.139182120562,-0.066586740315,3.97474124725e-08,-0.14331586659,1.25380837917,-0.759397149086,2.06669569016,1.36140465736,0.000499934481923,0.980000019073,1.3876594305,1.01677405834,-2.08566188812,-1.36135745049,-0.000499960617162,0.980000019073
 We,0.141184508801,-0.0710757374763,1.46762690889e-08,-0.106618911028,1.29593575001,-0.774939775467,2.07974624634,1.36136329174,0.000499980465975,0.980000019073,1.49659478664,1.01943123341,-2.08566594124,-1.36135661602,-0.000499985355418,0.980000019073
 We,0.140827253461,-0.0754144862294,7.51476836314e-09,-0.0533831492066,1.38417589664,-0.769392728806,2.08452582359,1.36135733128,0.000499983143527,0.980000019073,1.60535407066,1.00486707687,-2.08566665649,-1.36135661602,-0.000499989313539,0.980000019073
 We,0.138900995255,-0.0782127231359,1.44809542135e-09,-0.0227988604456,1.40535545349,-0.790852367878,2.08544850349,1.36135709286,0.00049999676412,0.980000019073,1.64665234089,0.981634438038,-2.08566808701,-1.36135661602,-0.000499997928273,0.980000019073
