Animation,Hip Pitch,Hip Roll,Head Yaw,Head Pitch,Right Shoulder Pitch,Right Shoulder Roll,Right Elbow Yaw,Right Elbow Roll,Right Wrist Yaw,Right Hand,Left Shoulder Pitch,Left Shoulder Roll,Left Elbow Yaw,Left Elbow Roll,Left Wrist Yaw,Left Hand
 Don't_be_sad,-0.34493175149,-0.0229213871062,-2.3099887585e-06,0.0564641654491,0.878446757793,-0.401247560978,1.36103475094,0.544654488564,0.000491320271976,0.980000019073,0.808377385139,0.432376861572,-1.18833529949,-0.681671202183,-0.000492431339808,0.980000019073
 Don't_be_sad,-0.270663619041,-0.0248319860548,-8.15217845229e-07,-0.0110611859709,0.642574429512,-0.662701904774,1.15941429138,0.560418426991,0.000495028332807,0.980000019073,0.563180744648,0.679046392441,-1.04423344135,-0.758961737156,-0.000497143773828,0.980000019073
 Don't_be_sad,-0.203988999128,-0.0145676583052,-4.1930968564e-07,-0.086665019393,0.350968956947,-0.705255866051,0.927707076073,0.518677175045,0.000498053675983,0.980000019073,0.26079133153,0.817811846733,-0.78899538517,-0.743117690086,-0.000499605084769,0.980000019073
 Don't_be_sad,-0.125799834728,-0.0121326586232,1.19825429579e-07,-0.160845935345,0.0838500261307,-0.638815045357,0.620030343533,0.503610432148,0.000499496702105,0.980000019073,-0.0570126287639,0.660826563835,-0.501032412052,-0.631596684456,-0.000500315334648,0.980000019073
 Don't_be_sad,-0.0582606755197,-0.0132437674329,5.14662694684e-08,-0.190971165895,-0.136247545481,-0.60476899147,0.73907583952,0.498446106911,0.000499930640217,0.980000019073,-0.329091668129,0.633504629135,-0.487581312656,-0.58568161726,-0.000500132329762,0.980000019073
 Don't_be_sad,0.0137015599757,-0.0164703521878,9.91754767199e-09,-0.227996379137,-0.39639505744,-0.581810414791,0.632271111012,0.464328765869,0.000499982445035,0.980000019073,-0.592894077301,0.603482365608,-0.474147766829,-0.540183484554,-0.000500018068124,0.980000019073
 Don't_be_sad,0.0837702527642,-0.0197599306703,4.0970860482e-08,-0.251473754644,-0.647434413433,-0.575146853924,0.612209916115,0.450436741114,0.000499309855513,0.980000019073,-0.799761772156,0.596581459045,-0.440305113792,-0.514845907688,-0.000499170389958,0.980000019073
 Don't_be_sad,0.149461656809,-0.021895242855,2.93227799375e-07,-0.263974934816,-0.81624019146,-0.577328324318,0.583296477795,0.443830281496,0.00049788603792,0.980000019073,-0.908350288868,0.591932952404,-0.465513557196,-0.510545194149,-0.000498101813719,0.980000019073
 Don't_be_sad,0.17241217196,-0.0227275937796,5.38750896339e-07,-0.274088442326,-0.807809233665,-0.580860316753,0.568748414516,0.441922277212,0.000497805071063,0.980000019073,-0.895893275738,0.586821496487,-0.479956746101,-0.509830594063,-0.000497971544974,0.980000019073
 Don't_be_sad,0.179898828268,-0.0228815134615,6.23515688858e-07,-0.281340271235,-0.806744992733,-0.580865323544,0.559407055378,0.442753434181,0.000498010485899,0.980000019073,-0.893231213093,0.589793562889,-0.460416018963,-0.511085212231,-0.000498146691825,0.980000019073
 Don't_be_sad,0.185961097479,-0.0221205148846,6.28745340236e-07,-0.283553123474,-0.804629802704,-0.579837083817,0.55418664217,0.443612456322,0.00049822073197,0.980000019073,-0.887767672539,0.593874752522,-0.439700245857,-0.512306630611,-0.000498373003211,0.980000019073
 Don't_be_sad,0.188682079315,-0.021082457155,5.84369104217e-07,-0.283413052559,-0.803693532944,-0.581263244152,0.548241555691,0.445303410292,0.000498412991874,0.980000019073,-0.872138261795,0.592793285847,-0.449716806412,-0.517623364925,-0.000498557114042,0.980000019073
 Don't_be_sad,0.190824002028,-0.0199904982001,5.21558945366e-07,-0.280349999666,-0.789273142815,-0.586245834827,0.562549769878,0.458050608635,0.00049857061822,0.980000019073,-0.863823533058,0.597794055939,-0.451724082232,-0.524942100048,-0.000498700770549,0.980000019073
 Don't_be_sad,0.186845242977,-0.0187038276345,3.45201698337e-07,-0.295514017344,-0.589157342911,-0.675705492496,0.696521222591,0.711115598679,0.000499000016134,0.980000019073,-0.717502772808,0.779687404633,-0.428421854973,-0.800209164619,-0.000499180518091,0.980000019073
 Don't_be_sad,0.183372706175,-0.0172906145453,4.59970834754e-07,-0.294437676668,-0.446323812008,-0.816579818726,0.863767504692,1.01900160313,0.000498594075907,0.980000019073,-0.538952350616,1.06677091122,-0.757701516151,-1.17660677433,-0.000498942681588,0.980000019073
 Don't_be_sad,0.181611999869,-0.0135150114074,1.75589860874e-07,-0.239518538117,-0.115397378802,-0.767531871796,1.15180921555,1.30952274799,0.000499354558997,0.81554454565,-0.188180953264,1.02909815311,-1.03930985928,-1.37520933151,-0.000499509216752,0.980000019073
 Don't_be_sad,0.167411506176,-0.00825991667807,3.04935525719e-08,-0.209832757711,0.243190005422,-0.593711078167,1.40999698639,1.30260014534,0.000499862944707,0.563156604767,0.166725605726,0.671813130379,-1.37840509415,-1.35202741623,-0.000499895308167,0.980000019073
 Don't_be_sad,0.15804797411,-0.00691044423729,5.87610671232e-09,-0.182490110397,0.563470423222,-0.478159934282,1.23932635784,1.16430282593,0.000499973597471,0.218143582344,0.492509454489,0.5216127038,-1.23792088032,-1.01587975025,-0.00049997982569,0.870269715786
 Don't_be_sad,0.145008638501,-0.00845819618553,1.13232545562e-09,-0.120216682553,0.845981657505,-0.318672597408,1.1908864975,0.845180153847,0.000499994959682,0.019999999553,0.777241170406,0.42132166028,-1.14353013039,-0.741968274117,-0.000499996123835,0.624641954899
 Don't_be_sad,0.134393200278,-0.0104420725256,2.18199069923e-10,-0.0947939157486,1.1110213995,-0.235778152943,1.179469347,0.457473427057,0.000499999034218,0.019999999553,1.04797363281,0.332128882408,-1.13874614239,-0.576495349407,-0.000499999441672,0.218143582344
