Head Yaw,Head Roll,Head Pitch,Right Shoulder Roll,Right Shoulder Pitch,Right Elbow Yaw,Right Elbow Roll,Right Wrist Yaw,Right Hand,Left Shoulder Roll,Left Shoulder Pitch,Left Elbow Yaw,Left Elbow Roll,Left Wrist Yaw,Left Hand,Waist Roll,Waist Pitch,Right Hip Roll,Right Hip Pitch,Right Knee Yaw,Right Knee Roll,Left Hip Roll,Left Hip Pitch,Left Knee Yaw,Left Knee Roll,Emotion
0,0,0.2506104,-0.189987029,1.535758905,2.002941057,1.469859504,0.539339343,Closed,0.603642214,1.283003284,-1.836490901,-1.320213171,-1.726475568,Closed,-0.045977354,0.128235062,1.213713047,0.120314159,-0.048858094,-0.236452242,-1.437477932,-1.726525075,0.074640846,0.298271377,Happy
0,0,0.228335401,-0.196888891,1.528269435,2.005931032,1.463810388,0.525386197,Closed,0.602915526,1.290286274,-1.844496038,-1.321925054,2.033252319,Closed,-0.051127995,0.132784014,1.206803595,0.118703409,-0.055236954,-0.247593763,-1.438330626,-1.765427201,0.073297125,0.300639031,Happy
0,0,0.205013689,-0.192094203,1.52833095,2.011329537,1.473302499,0.590360212,Unknow,0.60080262,1.286532849,-1.834267391,-1.315241488,1.694208855,Closed,-0.053949086,0.130806561,1.202599207,0.11858244,-0.048927823,-0.246790005,-1.441475394,-1.775647883,0.081445642,0.302949337,Happy
0,0,0.185047754,-0.193345759,1.527485706,2.013946403,1.472466484,0.430297182,Closed,0.600492484,1.278818382,-1.828699467,-1.309356505,3.011605673,Closed,-0.052645067,0.127799113,1.201019685,0.130746676,-0.050263058,-0.246402936,-1.440726107,-1.782105907,0.079564883,0.299111028,Happy
0,0,0.178272757,-0.192256184,1.535045836,2.012974124,1.475899264,0.692880907,Unknow,0.600830729,1.275891247,-1.826428066,-1.306404325,1.647267628,Closed,-0.05107473,0.124985615,1.199932021,0.140522633,-0.0501951,-0.247448195,-1.441221586,-1.773546113,0.078488247,0.297378179,Happy
0,0,0.221388142,-0.202526061,1.541635322,2.012972448,1.470921928,0.560696717,Closed,0.579998197,1.300513201,-1.838494629,-1.329332509,1.88252974,Closed,-0.057534115,0.133995251,1.197256754,0.109592292,-0.042788578,-0.247849756,-1.438030645,-1.774208885,0.087611083,0.294693061,Happy
0,0,0.230236358,-0.20571322,1.541488474,2.012038027,1.469443045,0.664366278,Closed,0.575163959,1.304754617,-1.841155806,-1.333888139,1.571258336,Closed,-0.059224101,0.13673,1.196817802,0.103755148,-0.041658922,-0.248644283,-1.436632051,-1.788768233,0.089370213,0.293231401,Happy
0,0,0.228411089,-0.206583502,1.539123537,2.013168281,1.468603173,0.472241166,Closed,0.590073869,1.295404092,-1.837396155,-1.296067826,1.724296471,Unknow,-0.061010279,0.138090093,1.196471657,0.104096866,-0.044085928,-0.250576393,-1.437517236,-1.779223393,0.086472477,0.294056814,Happy
0,0,0.231167095,-0.205273093,1.535857545,2.010575352,1.468670356,-1.085015632,Unknow,0.596566206,1.294357016,-1.837408772,-1.287784005,3.016406039,Unknow,-0.061310415,0.138788425,1.19584067,0.112406066,-0.044607397,-0.253937912,-1.438076173,-1.765330236,0.086265988,0.294870474,Happy
0,0,0.229236681,-0.208487734,1.536031826,2.004451775,1.469248216,-2.599163505,Unknow,0.598552294,1.287545212,-1.835347953,-1.278096652,1.48192207,Unknow,-0.061293521,0.13952105,1.195612,0.126612621,-0.046279461,-0.257310625,-1.439899351,-1.718282162,0.084340762,0.298144651,Happy
